"appId","appAbrv","appName","appDesc","appUrl","appContactEmail"
"1","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"2","EEB","Enterprise Event Bus","APP Description","APP Url","abc@gmail.com"
"3","EID","EIS Documentation","APP Description","APP Url","abc@gmail.com"
"4","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"5","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"6","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"7","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"8","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"9","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"10","EXD","Executive Dashboard","APP Description","APP Url","abc@gmail.com"
"11","MDB","My Dashboard","app des","app url","abc@gmail.com"
"12","MED","My Ex Dashboard","app desc","app url","abc@gmail.com"
